func_calls,mean_distances,grad_c_distances,pc_c_distances
2.000000000000000000e+02,2.059595817072869011e+02,1.887204112639656444e+02,nan
4.000000000000000000e+02,2.053405751164243895e+02,1.886427231917788561e+02,nan
6.000000000000000000e+02,2.045654016909267341e+02,1.893160793410606004e+02,nan
8.000000000000000000e+02,2.033043649304409257e+02,1.901800340979105215e+02,nan
1.000000000000000000e+03,2.008151318715615901e+02,1.897702450843915472e+02,nan
1.200000000000000000e+03,1.966801847767173399e+02,1.875467421463871460e+02,nan
1.400000000000000000e+03,1.940755158885556284e+02,1.887294538061655373e+02,nan
1.600000000000000000e+03,1.907803871014456263e+02,1.867857560547395224e+02,nan
1.800000000000000000e+03,1.883571847912760973e+02,1.860688457918554377e+02,nan
2.000000000000000000e+03,1.895771705008160950e+02,1.884496469650198094e+02,1.879934212909807911e+02
2.200000000000000000e+03,1.973645244580786198e+02,1.967758609269003216e+02,1.890844615201252452e+02
2.400000000000000000e+03,1.981700370333805949e+02,1.955867592422200403e+02,1.891977288481031394e+02
2.600000000000000000e+03,2.019414667911458707e+02,1.995731181770136118e+02,1.885291135920246575e+02
2.800000000000000000e+03,2.008558840935281751e+02,1.994378278446787931e+02,1.875624272366019909e+02
3.000000000000000000e+03,2.094396610237084815e+02,2.075825217241067833e+02,1.888525872678661699e+02
3.200000000000000000e+03,2.201519254767412122e+02,2.185992036172168866e+02,1.876687071587321611e+02
3.400000000000000000e+03,2.162893489387305692e+02,2.146275998636993450e+02,1.907766038112172851e+02
3.600000000000000000e+03,2.126804634214289251e+02,2.117743687730200008e+02,1.913288726734786849e+02
3.800000000000000000e+03,2.079029259775455500e+02,2.067422253021725282e+02,1.915559049542769401e+02
4.000000000000000000e+03,2.093775596345589918e+02,2.088203130551526385e+02,1.915490305439712131e+02
4.200000000000000000e+03,2.133687881588232926e+02,2.113667362995499843e+02,1.916120452967936671e+02
4.400000000000000000e+03,2.140993942405107759e+02,2.115076831110958153e+02,1.929997033786221152e+02
4.600000000000000000e+03,2.174908812988355464e+02,2.140539632953447722e+02,1.909714424320986836e+02
4.800000000000000000e+03,2.199869089707792398e+02,2.167380780992442908e+02,1.905023997765262607e+02
5.000000000000000000e+03,2.209072672737753749e+02,2.186129176554646278e+02,1.943689314594304562e+02
5.200000000000000000e+03,2.154822413784381467e+02,2.133488631281969106e+02,1.997303804905946265e+02
5.400000000000000000e+03,2.177323714100958227e+02,2.173672447733765694e+02,1.981722657737600741e+02
5.600000000000000000e+03,2.300997986659274943e+02,2.298651370295617937e+02,1.948885300492599981e+02
5.800000000000000000e+03,2.307171583590778994e+02,2.303562882107298719e+02,1.967481455187404720e+02
6.000000000000000000e+03,2.267080887369223774e+02,2.264062794354290702e+02,2.003310558414086415e+02
6.200000000000000000e+03,2.243415414629672853e+02,2.239846131485306842e+02,2.022718312369663067e+02
6.400000000000000000e+03,2.200579468556298650e+02,2.198271481697337038e+02,2.024823931149963414e+02
6.600000000000000000e+03,2.199871594760807625e+02,2.196141457826913381e+02,2.049719189882956130e+02
6.800000000000000000e+03,2.230586132189660304e+02,2.224449506961496184e+02,2.035375114012408062e+02
7.000000000000000000e+03,2.270912804438280546e+02,2.268580653330485006e+02,2.001393200143831166e+02
7.200000000000000000e+03,2.272505559473318044e+02,2.268867496512155810e+02,2.002776173412156027e+02
7.400000000000000000e+03,2.240330458844232453e+02,2.224013315895997493e+02,2.086910620412749040e+02
7.600000000000000000e+03,2.269203677284997127e+02,2.254730629261908632e+02,2.049248169776295754e+02
7.800000000000000000e+03,2.237002689960148132e+02,2.219367541799226444e+02,2.121311417639995227e+02
8.000000000000000000e+03,2.242462297399168847e+02,2.200260893040053247e+02,2.127240327234761992e+02
8.200000000000000000e+03,2.246496903538632637e+02,2.217961209871748451e+02,2.142580194759165124e+02
8.400000000000000000e+03,2.252167753070136484e+02,2.213072174328982271e+02,2.145951336220364567e+02
8.600000000000000000e+03,2.270222000457490310e+02,2.238547320078867244e+02,2.143804417964180686e+02
8.800000000000000000e+03,2.277271795075530463e+02,2.228001680528134045e+02,2.168745030464894228e+02
9.000000000000000000e+03,2.226773612734281187e+02,2.185494106950442301e+02,2.199478318283814247e+02
9.200000000000000000e+03,2.201976992825618709e+02,2.186282380882782945e+02,2.195663752622250797e+02
9.400000000000000000e+03,2.219194678183772567e+02,2.199149293179255551e+02,2.202458600086885099e+02
9.600000000000000000e+03,2.205509950516667743e+02,2.176298623929068299e+02,2.196723529789795748e+02
9.800000000000000000e+03,2.248586860137029646e+02,2.213715117758885356e+02,2.195641043199101716e+02
1.000000000000000000e+04,2.218574202123712666e+02,2.189935346650721044e+02,2.205995873447033659e+02
1.020000000000000000e+04,2.204071294422745950e+02,2.165805717818640801e+02,2.200567574119990013e+02
1.040000000000000000e+04,2.191745376390400679e+02,2.158016625718341572e+02,2.191167915363176917e+02
1.060000000000000000e+04,2.158453741889352955e+02,2.112074470708555225e+02,2.145259957212718689e+02
1.080000000000000000e+04,2.179471560672698729e+02,2.146565609424969239e+02,2.179469156718169245e+02
1.100000000000000000e+04,2.176768153949382736e+02,2.145695249615438627e+02,2.176544992850960796e+02
1.120000000000000000e+04,2.200136330168751613e+02,2.156446400274880091e+02,2.180335696066736375e+02
1.140000000000000000e+04,2.190262449648565166e+02,2.143359205276378532e+02,2.181297662036577094e+02
1.160000000000000000e+04,2.214748333367627993e+02,2.139548903419017734e+02,2.178969545521646864e+02
1.180000000000000000e+04,2.223192675352364347e+02,2.136894673135251708e+02,2.179389071270363729e+02
1.200000000000000000e+04,2.229488864412089697e+02,2.143624097923034526e+02,2.185885597926907167e+02
1.220000000000000000e+04,2.224644659121073857e+02,2.138362503195275224e+02,2.196075732041994684e+02
1.240000000000000000e+04,2.199791801669993561e+02,2.096735618356782993e+02,2.198470947106518736e+02
1.260000000000000000e+04,2.218830352121381395e+02,2.149839847533086470e+02,2.191163523396972721e+02
1.280000000000000000e+04,2.225287927397744454e+02,2.118047723346137730e+02,2.181803031225064728e+02
1.300000000000000000e+04,2.204174555862315117e+02,2.074393114755499425e+02,2.200870300386096687e+02
1.320000000000000000e+04,2.199054582904263384e+02,2.040713947017704584e+02,2.197027469718509849e+02
1.340000000000000000e+04,2.208131278692140427e+02,2.060150276171462451e+02,2.201236999184137346e+02
1.360000000000000000e+04,2.201511240443954023e+02,2.100185332160817495e+02,2.200143747130082659e+02
1.380000000000000000e+04,2.197036914829855334e+02,2.128031048251762627e+02,2.195084048855549952e+02
1.400000000000000000e+04,2.168674051710368644e+02,2.102464870218545911e+02,2.155329097689604509e+02
1.420000000000000000e+04,2.170668277877495882e+02,2.025569007836830053e+02,2.165535736602373049e+02
1.440000000000000000e+04,2.157582600167866644e+02,2.072531964800815558e+02,2.139254083713224190e+02
1.460000000000000000e+04,2.136209620369676259e+02,2.022556378673279767e+02,2.097974231955113567e+02
1.480000000000000000e+04,2.112318741806801370e+02,1.987007344407417406e+02,2.030530296724476500e+02
1.500000000000000000e+04,2.145974017438209103e+02,1.985255860517940505e+02,2.137486840793266651e+02
1.520000000000000000e+04,2.151103519307376928e+02,2.047347423313626678e+02,2.145692583784634166e+02
1.540000000000000000e+04,2.144885980401242591e+02,2.050358824630370975e+02,2.130819258264493214e+02
1.560000000000000000e+04,2.134290680850957642e+02,2.038780649082409298e+02,2.091385855114127708e+02
1.580000000000000000e+04,2.120099811498674001e+02,1.996710681009406301e+02,2.039512942804638271e+02
1.600000000000000000e+04,2.110662835800808921e+02,1.963369573094999225e+02,2.039788403163976511e+02
1.620000000000000000e+04,2.113572790667911363e+02,1.928712705802774110e+02,2.047111075439086392e+02
1.640000000000000000e+04,2.097073875075593037e+02,1.939142729884694347e+02,2.009141464182508230e+02
1.660000000000000000e+04,2.071868242898100618e+02,1.906515687762039875e+02,1.896554395229261161e+02
1.680000000000000000e+04,2.065329445569211089e+02,1.869878333353182995e+02,1.850585921047484703e+02
1.700000000000000000e+04,2.064950891156208570e+02,1.841574261982637495e+02,1.901862051409135859e+02
1.720000000000000000e+04,2.060046732038942139e+02,1.835710274313426851e+02,1.870293199615336164e+02
1.740000000000000000e+04,2.040504830585746561e+02,1.855389302716924362e+02,1.806711661146953247e+02
1.760000000000000000e+04,2.037035940621957764e+02,1.843079518001001986e+02,1.810772558171902631e+02
1.780000000000000000e+04,2.026312090959403918e+02,1.825199552178993372e+02,1.816123149863470303e+02
1.800000000000000000e+04,2.012209877478630631e+02,1.826361840293975547e+02,1.783633791840607046e+02
1.820000000000000000e+04,2.003668002494260350e+02,1.811519451161742893e+02,1.828336119572913674e+02
1.840000000000000000e+04,1.993658005289430548e+02,1.845207112136717171e+02,1.827946683708496778e+02
1.860000000000000000e+04,1.974055465068241517e+02,1.806503739840117930e+02,1.797090439930060199e+02
1.880000000000000000e+04,1.961408149571853130e+02,1.790601044969914994e+02,1.783400404245812183e+02
1.900000000000000000e+04,1.959285182805803345e+02,1.756960524400986401e+02,1.794223863197126150e+02
1.920000000000000000e+04,1.970195668391804134e+02,1.744155650188366735e+02,1.815349317871582571e+02
1.940000000000000000e+04,1.940289652328475540e+02,1.745521693908801240e+02,1.779659315387582978e+02
1.960000000000000000e+04,1.930768910961738243e+02,1.722982650955977135e+02,1.754343951578676410e+02
