func_calls,mean_distances,grad_c_distances,pc_c_distances
2.000000000000000000e+02,2.063511259915272547e+02,1.905446745654859342e+02,nan
4.000000000000000000e+02,2.057534536225799400e+02,1.903646204712812562e+02,nan
6.000000000000000000e+02,2.052790110776145411e+02,1.913911668374328201e+02,nan
8.000000000000000000e+02,2.040586087559928785e+02,1.914287883073505157e+02,nan
1.000000000000000000e+03,2.027168904547250179e+02,1.922837952605360954e+02,nan
1.200000000000000000e+03,2.005637197978106485e+02,1.925177002892983182e+02,nan
1.400000000000000000e+03,1.952817827940117468e+02,1.891346874769718340e+02,nan
1.600000000000000000e+03,1.924630934378373581e+02,1.884024250498109438e+02,nan
1.800000000000000000e+03,1.916135030220570172e+02,1.879326913088260653e+02,nan
2.000000000000000000e+03,1.864982764209005381e+02,1.827298060611063306e+02,1.864571990260534449e+02
2.200000000000000000e+03,1.932670145177330596e+02,1.913002527785094458e+02,1.908111335354662401e+02
2.400000000000000000e+03,1.902127998023487692e+02,1.869819845338721791e+02,1.881342722977962865e+02
2.600000000000000000e+03,1.953787900750868971e+02,1.933823826682569802e+02,1.895165848869679337e+02
2.800000000000000000e+03,2.005169123173328956e+02,1.976476022526088627e+02,1.898952380052550666e+02
3.000000000000000000e+03,2.072921064370600277e+02,2.059074136771421593e+02,1.893715165636761526e+02
3.200000000000000000e+03,2.063076638547021844e+02,2.014029833011264543e+02,1.914213691069137724e+02
3.400000000000000000e+03,1.952257107198343533e+02,1.919386086518083800e+02,1.922158057615623932e+02
3.600000000000000000e+03,1.889719474204473215e+02,1.860354016075407628e+02,1.886155280905628047e+02
3.800000000000000000e+03,1.910096923318203324e+02,1.882007032451370492e+02,1.895121008329124948e+02
4.000000000000000000e+03,1.859879533953159410e+02,1.825492604520819668e+02,1.857438957343485697e+02
4.200000000000000000e+03,1.874800959251750498e+02,1.837336036180274448e+02,1.860094819708179159e+02
4.400000000000000000e+03,1.879361323024416492e+02,1.845391313277198151e+02,1.855915115491835365e+02
4.600000000000000000e+03,1.882406434654306224e+02,1.868891214966238010e+02,1.849960067900050831e+02
4.800000000000000000e+03,1.911436108512571082e+02,1.904898361247115304e+02,1.855733811936586903e+02
5.000000000000000000e+03,1.922431898745492447e+02,1.906203427539209088e+02,1.849170360696641637e+02
5.200000000000000000e+03,1.962784594863967129e+02,1.946903572880411559e+02,1.862673498263593785e+02
5.400000000000000000e+03,1.973688266042544512e+02,1.962031481591212980e+02,1.872435533528766314e+02
5.600000000000000000e+03,1.934696282949221597e+02,1.925257110111039651e+02,1.859510215498957280e+02
5.800000000000000000e+03,1.955063019739710057e+02,1.931810759000929636e+02,1.858194488319664117e+02
6.000000000000000000e+03,1.947438181809172022e+02,1.922356487012156379e+02,1.851028563679249430e+02
6.200000000000000000e+03,1.941743811692297754e+02,1.917852407244087942e+02,1.863732265375036548e+02
6.400000000000000000e+03,1.959751715230498235e+02,1.946791888218955364e+02,1.872271634859086475e+02
6.600000000000000000e+03,1.926072329900681268e+02,1.904803299604240578e+02,1.873424953700530580e+02
6.800000000000000000e+03,1.970684227912724111e+02,1.945166077242720917e+02,1.873153317769562705e+02
7.000000000000000000e+03,1.982658767753203790e+02,1.958158672101993432e+02,1.874435075495161414e+02
7.200000000000000000e+03,2.009092233083761698e+02,1.983594617113740242e+02,1.885150146052875471e+02
7.400000000000000000e+03,2.063163693161285437e+02,2.049403646464734550e+02,1.861473363851342526e+02
7.600000000000000000e+03,2.088502963909762684e+02,2.075356825440231034e+02,1.808365484182782268e+02
7.800000000000000000e+03,2.068128715360039678e+02,2.062215238855636414e+02,1.858175950412087616e+02
8.000000000000000000e+03,2.097205193464035347e+02,2.094392673149475854e+02,1.872776303850812383e+02
8.200000000000000000e+03,2.125489567146198056e+02,2.108164663451559591e+02,1.872686087142727729e+02
8.400000000000000000e+03,2.169702710279827045e+02,2.155051788976118701e+02,1.853256417174032151e+02
8.600000000000000000e+03,2.215267698239834715e+02,2.201274131075524281e+02,1.729570072611005287e+02
8.800000000000000000e+03,2.226672121176847554e+02,2.211544091678287316e+02,1.810501254048777184e+02
9.000000000000000000e+03,2.214492967140076018e+02,2.196202159029028849e+02,1.825688820699911901e+02
9.200000000000000000e+03,2.219740958390888181e+02,2.190502378460963087e+02,1.835031169934607647e+02
9.400000000000000000e+03,2.248719797411707191e+02,2.185318946876940913e+02,1.807643369509836759e+02
9.600000000000000000e+03,2.265514739163118634e+02,2.185929157513879488e+02,1.864169288960279687e+02
9.800000000000000000e+03,2.263422692091282329e+02,2.220913549249519860e+02,1.936767112041670771e+02
1.000000000000000000e+04,2.285896289438979636e+02,2.226654335356020340e+02,1.921996653247641689e+02
1.020000000000000000e+04,2.310680441205133491e+02,2.222348123609189656e+02,1.909841544032616412e+02
1.040000000000000000e+04,2.279514999345167610e+02,2.190065734023648076e+02,2.001201458115301648e+02
1.060000000000000000e+04,2.276812282270598757e+02,2.215996420343196007e+02,2.045252816729184815e+02
1.080000000000000000e+04,2.324999469405773880e+02,2.266117400533340742e+02,1.994219668795106486e+02
1.100000000000000000e+04,2.319285753528274654e+02,2.271749454386399805e+02,2.014165368019137361e+02
1.120000000000000000e+04,2.307149687575360417e+02,2.248761958408236410e+02,2.048271607625498802e+02
1.140000000000000000e+04,2.327343046907663506e+02,2.294980750506457809e+02,2.052595665746436850e+02
