func_calls,mean_distances,grad_c_distances,pc_c_distances
1.200000000000000000e+04,3.044530278384977464e+02,3.008301804051376394e+02,2.559482802029451136e+02
1.240000000000000000e+04,3.062375131893264779e+02,2.990241693469876623e+02,2.550960983704909495e+02
1.280000000000000000e+04,3.145971935143224982e+02,3.086124003646106644e+02,2.534198111431606435e+02
1.320000000000000000e+04,3.276808886965952752e+02,3.222557830343193928e+02,2.515003341600636872e+02
1.360000000000000000e+04,3.340603548245505863e+02,3.288609567358117260e+02,2.526456518837761394e+02
1.400000000000000000e+04,3.347308225148377687e+02,3.311601976516800505e+02,2.516524260922975884e+02
1.440000000000000000e+04,3.427972087816995099e+02,3.389668794635166478e+02,2.509973679983915247e+02
1.480000000000000000e+04,3.422457903392514709e+02,3.387304276290219605e+02,2.526263587714262826e+02
1.520000000000000000e+04,3.447379276234338477e+02,3.402797010668699045e+02,2.537338473442992495e+02
1.560000000000000000e+04,3.418850676439394647e+02,3.359719213406692120e+02,2.550827875678996577e+02
1.600000000000000000e+04,3.395627009267351468e+02,3.338922390997050798e+02,2.562940117669812139e+02
1.640000000000000000e+04,3.460538676235806292e+02,3.403345793526538046e+02,2.558425520416274139e+02
1.680000000000000000e+04,3.452020832299396034e+02,3.384088338667394282e+02,2.593522449075996406e+02
1.720000000000000000e+04,3.421185320076365315e+02,3.353684642125602977e+02,2.623167004597262917e+02
1.760000000000000000e+04,3.370126778019285894e+02,3.306288742164571772e+02,2.658438105324779031e+02
1.800000000000000000e+04,3.344349285099246458e+02,3.295522934155851544e+02,2.705394243753792693e+02
1.840000000000000000e+04,3.421505869952423495e+02,3.353739272143857875e+02,2.676611215048696977e+02
1.880000000000000000e+04,3.401720449842780454e+02,3.328663161475181482e+02,2.706792302302355893e+02
1.920000000000000000e+04,3.479558395557593826e+02,3.405352457019559438e+02,2.661578745188061816e+02
1.960000000000000000e+04,3.457141924458584299e+02,3.391427992139424532e+02,2.707837496159387456e+02
2.000000000000000000e+04,3.462788163514338748e+02,3.406577917675173808e+02,2.671285841174298525e+02
2.040000000000000000e+04,3.459821269828235017e+02,3.360837157652318297e+02,2.737854285053018657e+02
2.080000000000000000e+04,3.488583279598398690e+02,3.412418665156032489e+02,2.773359236671339545e+02
2.120000000000000000e+04,3.518124728450305270e+02,3.420418663421203291e+02,2.754715376795018074e+02
2.160000000000000000e+04,3.547546347172066703e+02,3.467086602390236294e+02,2.666218644109520710e+02
2.200000000000000000e+04,3.542168660824462449e+02,3.467126223081444891e+02,2.762904975078401435e+02
2.240000000000000000e+04,3.577333196196435665e+02,3.454433280186169668e+02,2.792786129298564219e+02
2.280000000000000000e+04,3.553313331081510000e+02,3.389290543559196749e+02,2.850760954630142123e+02
2.320000000000000000e+04,3.578940018328455039e+02,3.428483325053514932e+02,2.909305980824688049e+02
2.360000000000000000e+04,3.537128301357246301e+02,3.396116527420982720e+02,3.057565808935390805e+02
2.400000000000000000e+04,3.496196588937576166e+02,3.363829893420366943e+02,3.146940135389197053e+02
2.440000000000000000e+04,3.449942575020997992e+02,3.287841038791117398e+02,3.237819277587213378e+02
2.480000000000000000e+04,3.471918195108416967e+02,3.341428866488880658e+02,3.185566950408658613e+02
2.520000000000000000e+04,3.463519383977377402e+02,3.315065526270731766e+02,3.185593121614413121e+02
2.560000000000000000e+04,3.439932677513037902e+02,3.319691810622319394e+02,3.245535112764140422e+02
2.600000000000000000e+04,3.392905810472501003e+02,3.285220942908590018e+02,3.309115155673769095e+02
2.640000000000000000e+04,3.421910411187739669e+02,3.280245696284953283e+02,3.295274958114193851e+02
2.680000000000000000e+04,3.422347271883630810e+02,3.345589590576183809e+02,3.303354859840372342e+02
2.720000000000000000e+04,3.417804936360641364e+02,3.314506544001641828e+02,3.298115853455514070e+02
2.760000000000000000e+04,3.420976357059995507e+02,3.281594587401708054e+02,3.292296533035664083e+02
2.800000000000000000e+04,3.415678731803506594e+02,3.293140934364632813e+02,3.305166556287024378e+02
2.840000000000000000e+04,3.427456308994530332e+02,3.329580750372501825e+02,3.304501916146530789e+02
2.880000000000000000e+04,3.443190545858223004e+02,3.342373236209144238e+02,3.285656826070074317e+02
2.920000000000000000e+04,3.422358912882599498e+02,3.311680984315001410e+02,3.322227626335762807e+02
2.960000000000000000e+04,3.411245493171837779e+02,3.265369380473586034e+02,3.328725344313751293e+02
3.000000000000000000e+04,3.364597807019808897e+02,3.270362938287639736e+02,3.349542571040819894e+02
3.040000000000000000e+04,3.356888704095604226e+02,3.269998718913089988e+02,3.347877339249234296e+02
3.080000000000000000e+04,3.340041603571513065e+02,3.221613133283004800e+02,3.338617551234601706e+02
3.120000000000000000e+04,3.339158527082163914e+02,3.222114466194543638e+02,3.337193593207041431e+02
3.160000000000000000e+04,3.307865956509886018e+02,3.212547078077243441e+02,3.304143871346833521e+02
3.200000000000000000e+04,3.312654229316406713e+02,3.175218846337013474e+02,3.312533930374750639e+02
3.240000000000000000e+04,3.335766497470781928e+02,3.169675295056076152e+02,3.331384259069988047e+02
3.280000000000000000e+04,3.343021942816163801e+02,3.212335133847258817e+02,3.331512673998168452e+02
3.320000000000000000e+04,3.357576183385113495e+02,3.192099370062672392e+02,3.330372676748309573e+02
3.360000000000000000e+04,3.338266294093824058e+02,3.188914098351219764e+02,3.329532555864738583e+02
3.400000000000000000e+04,3.328345091464099710e+02,3.180660575141988033e+02,3.324090253988639461e+02
3.440000000000000000e+04,3.331046036851224130e+02,3.156201116748115396e+02,3.326056350475452064e+02
