func_calls,mean_distances,grad_c_distances,pc_c_distances
4.000000000000000000e+02,3.062996128758848045e+02,2.714702050950300531e+02,nan
8.000000000000000000e+02,3.054677644329744339e+02,2.710827567519198169e+02,nan
1.200000000000000000e+03,3.045461251957352147e+02,2.716987673581267018e+02,nan
1.600000000000000000e+03,3.026664144354347172e+02,2.705514034993606742e+02,nan
2.000000000000000000e+03,3.003881010383701096e+02,2.703578406367339539e+02,nan
2.400000000000000000e+03,2.968864140451689764e+02,2.705123055959107887e+02,nan
2.800000000000000000e+03,2.901512752958671513e+02,2.685021832915236359e+02,nan
3.200000000000000000e+03,2.838195029342099929e+02,2.675694006091474080e+02,nan
3.600000000000000000e+03,2.837756045464802241e+02,2.729891486994406478e+02,nan
4.000000000000000000e+03,2.732588655158187976e+02,2.655345044820915064e+02,nan
4.400000000000000000e+03,2.735079724832521606e+02,2.669966244021250077e+02,2.722823488627322490e+02
4.800000000000000000e+03,2.774093248016132520e+02,2.716479704427985666e+02,2.718601752674052818e+02
5.200000000000000000e+03,2.779656988152988220e+02,2.681216028938457043e+02,2.707773963261927292e+02
5.600000000000000000e+03,2.789097950102914183e+02,2.721975304654889669e+02,2.698530382069184270e+02
6.000000000000000000e+03,2.871233083089228444e+02,2.821396113160961363e+02,2.708659707463945097e+02
6.400000000000000000e+03,2.903282902210668226e+02,2.836974587230774318e+02,2.712852489897853161e+02
6.800000000000000000e+03,2.855663281110282696e+02,2.815683068696142186e+02,2.700041059557135554e+02
7.200000000000000000e+03,2.965176785042986012e+02,2.904529470214027356e+02,2.708604396354893993e+02
7.600000000000000000e+03,2.998885577729233773e+02,2.938422041001827552e+02,2.699068131260006567e+02
8.000000000000000000e+03,3.045992807172679591e+02,2.984369168134251709e+02,2.703680501590641256e+02
8.400000000000000000e+03,3.023611235984192263e+02,2.949619557585475036e+02,2.696678279418400734e+02
8.800000000000000000e+03,3.009684588319213958e+02,2.940010067410460692e+02,2.682864876232492861e+02
9.200000000000000000e+03,2.940166660161748382e+02,2.872341424218677162e+02,2.644716831351936435e+02
9.600000000000000000e+03,3.064822746917317886e+02,2.998143065735247887e+02,2.657011620445585436e+02
1.000000000000000000e+04,3.085885274515683818e+02,2.988618258228872833e+02,2.656932065142194119e+02
1.040000000000000000e+04,3.185385264880246723e+02,3.109911674474229244e+02,2.672808230496646615e+02
1.080000000000000000e+04,3.193613786185971435e+02,3.132457199217701032e+02,2.665769684132226871e+02
1.120000000000000000e+04,3.342252368451308371e+02,3.302492192308517929e+02,2.663621589779073133e+02
1.160000000000000000e+04,3.335130688621312061e+02,3.272520129656141421e+02,2.665018775793332111e+02
1.200000000000000000e+04,3.418376071900618172e+02,3.346267200612951456e+02,2.661800743799465749e+02
1.240000000000000000e+04,3.351092737775318255e+02,3.285341438694574663e+02,2.642844754489089496e+02
1.280000000000000000e+04,3.390511543362441103e+02,3.336340411183043102e+02,2.675961877424265367e+02
1.320000000000000000e+04,3.422565510666778437e+02,3.378420276437106509e+02,2.675338115789422773e+02
1.360000000000000000e+04,3.411259956195201539e+02,3.370528772138833915e+02,2.709536379525289931e+02
1.400000000000000000e+04,3.390836298387289958e+02,3.347889492386541406e+02,2.743412843638762411e+02
1.440000000000000000e+04,3.373732869983092542e+02,3.328509404921022110e+02,2.772525796055569458e+02
1.480000000000000000e+04,3.422588467138627379e+02,3.369459243674274944e+02,2.763596557956465745e+02
1.520000000000000000e+04,3.407182943889766307e+02,3.343193025732915657e+02,2.791583523460252536e+02
1.560000000000000000e+04,3.343031947423402244e+02,3.286718350006264586e+02,2.818315111556161128e+02
1.600000000000000000e+04,3.325325251151139128e+02,3.263809160538779111e+02,2.822693040143389567e+02
1.640000000000000000e+04,3.364947596546049340e+02,3.294019049103877137e+02,2.831188328661156675e+02
1.680000000000000000e+04,3.446138012125261412e+02,3.367671585273622554e+02,2.823900247182288012e+02
1.720000000000000000e+04,3.440875404491633276e+02,3.372627752167812218e+02,2.858506933442668014e+02
1.760000000000000000e+04,3.447822991909849861e+02,3.402836524571021073e+02,2.853226358793270947e+02
1.800000000000000000e+04,3.505393312584584464e+02,3.460339410129975022e+02,2.816463503140525404e+02
1.840000000000000000e+04,3.545932922440800894e+02,3.488837621821820676e+02,2.802856785252805594e+02
1.880000000000000000e+04,3.534587499867672022e+02,3.478662601957868787e+02,2.823116478627832180e+02
1.920000000000000000e+04,3.540525008734248331e+02,3.480884250238387381e+02,2.819875387779762264e+02
1.960000000000000000e+04,3.575484197516202585e+02,3.535384468727116314e+02,2.827381419536060889e+02
2.000000000000000000e+04,3.559706179064793332e+02,3.533645756248869247e+02,2.882925335008329171e+02
2.040000000000000000e+04,3.551387466288077235e+02,3.514969379656334922e+02,2.922518696492471122e+02
2.080000000000000000e+04,3.579923778229280060e+02,3.554198112357707942e+02,2.926680236973950286e+02
2.120000000000000000e+04,3.601426102682447095e+02,3.570502265485687303e+02,2.939722390649296813e+02
2.160000000000000000e+04,3.596582157620561588e+02,3.543926322242229503e+02,2.965226269999947704e+02
2.200000000000000000e+04,3.541475447426163328e+02,3.491982281394826373e+02,3.051646784912705925e+02
2.240000000000000000e+04,3.536630363885925590e+02,3.482390423904992076e+02,3.084641584949842468e+02
2.280000000000000000e+04,3.548227960530169867e+02,3.499813324724829613e+02,3.089078616903582315e+02
2.320000000000000000e+04,3.585255542990486219e+02,3.542866659541999184e+02,3.099193132628952867e+02
2.360000000000000000e+04,3.544689570236507734e+02,3.502330678360258389e+02,3.155276428915034899e+02
2.400000000000000000e+04,3.541357020917558884e+02,3.485345398695121162e+02,3.171850387577788979e+02
2.440000000000000000e+04,3.557074031369256204e+02,3.524261481671500178e+02,3.170262013311235592e+02
2.480000000000000000e+04,3.547244916023769861e+02,3.524957070756641997e+02,3.215332031657429184e+02
2.520000000000000000e+04,3.553941297232005923e+02,3.528661345973762309e+02,3.217029843993683471e+02
2.560000000000000000e+04,3.548889764777056826e+02,3.512856911062460199e+02,3.213926421675912479e+02
2.600000000000000000e+04,3.546170013137830210e+02,3.489829147993934839e+02,3.235224271208614368e+02
2.640000000000000000e+04,3.499335951286518593e+02,3.430171759329786028e+02,3.281674113003234083e+02
2.680000000000000000e+04,3.467271874972362866e+02,3.419820181566651627e+02,3.309683067485511856e+02
2.720000000000000000e+04,3.478671612926705734e+02,3.423435290416804264e+02,3.295275398887657730e+02
2.760000000000000000e+04,3.459686139170279944e+02,3.420030842209666844e+02,3.315740669543206991e+02
2.800000000000000000e+04,3.474433093881296486e+02,3.414812696458412233e+02,3.312381559137392628e+02
2.840000000000000000e+04,3.530225520506662065e+02,3.482779487085315395e+02,3.240944366501654486e+02
2.880000000000000000e+04,3.487754824835471368e+02,3.447802964866421007e+02,3.287308363658979147e+02
2.920000000000000000e+04,3.443823727111639528e+02,3.416158215791165276e+02,3.337701396731958425e+02
2.960000000000000000e+04,3.446056688178499599e+02,3.398301689940923325e+02,3.343236218268126549e+02
3.000000000000000000e+04,3.464648918205621726e+02,3.399809389710414962e+02,3.338462459391002994e+02
3.040000000000000000e+04,3.480311732954116337e+02,3.402673368642699074e+02,3.345652487323762898e+02
3.080000000000000000e+04,3.493973019845216186e+02,3.427179860359623831e+02,3.329672010277966478e+02
3.120000000000000000e+04,3.496920705827348570e+02,3.421199953986493938e+02,3.331049931630230390e+02
3.160000000000000000e+04,3.508386977592317635e+02,3.429041519811016201e+02,3.346133146636077527e+02
3.200000000000000000e+04,3.491737458483739260e+02,3.394160813907817555e+02,3.368478476463475886e+02
3.240000000000000000e+04,3.467959367164373248e+02,3.372100302233220646e+02,3.383477227038053456e+02
3.280000000000000000e+04,3.469336657208576185e+02,3.389974359355859406e+02,3.388721901005810651e+02
3.320000000000000000e+04,3.449726228461154278e+02,3.360468516819349247e+02,3.404416404312453324e+02
3.360000000000000000e+04,3.408363011092044417e+02,3.312546069893222125e+02,3.398498701666314332e+02
3.400000000000000000e+04,3.423888116824973054e+02,3.362630487654574267e+02,3.404433005801006971e+02
3.440000000000000000e+04,3.404388104604531691e+02,3.342666173340967930e+02,3.395732837337932892e+02
3.480000000000000000e+04,3.411233089796326681e+02,3.350100458736289966e+02,3.396703442618405688e+02
3.520000000000000000e+04,3.404630409596727532e+02,3.339041339302963820e+02,3.389173269248802285e+02
