func_calls,mean_distances,grad_c_distances,pc_c_distances
4.000000000000000000e+01,1.012600377390728568e+02,1.003070763310190330e+02,nan
8.000000000000000000e+01,1.016272041481730071e+02,1.012270666436398585e+02,nan
1.200000000000000000e+02,1.010365962062082446e+02,1.004262493109602730e+02,nan
1.600000000000000000e+02,1.003781566603614976e+02,9.947116684398442032e+01,nan
2.000000000000000000e+02,9.826910367205049113e+01,9.659212645261895602e+01,nan
2.400000000000000000e+02,9.957832316442959097e+01,9.606208373635101339e+01,9.907363730284097869e+01
2.800000000000000000e+02,1.003872409542373134e+02,9.595851757267864457e+01,9.836405387956962443e+01
3.200000000000000000e+02,9.384527884399693676e+01,9.372779497449667474e+01,9.063629671791335340e+01
3.600000000000000000e+02,9.426173373828241608e+01,9.286516098615084047e+01,9.394005105948845369e+01
4.000000000000000000e+02,9.224461424460633907e+01,9.135710883232241031e+01,8.803097629389831980e+01
4.400000000000000000e+02,9.632800583477077794e+01,9.329439282125504462e+01,9.520435567574411095e+01
4.800000000000000000e+02,9.242184772871431164e+01,9.088327307024307800e+01,8.934778980461896936e+01
5.200000000000000000e+02,9.289884334916258979e+01,9.289822140008492113e+01,9.289694879801612615e+01
5.600000000000000000e+02,9.398429541881196769e+01,9.354127067581021038e+01,9.371807231400170224e+01
6.000000000000000000e+02,9.150117505296205422e+01,9.138133492248913115e+01,9.142126762622631020e+01
6.400000000000000000e+02,9.304893660815352519e+01,9.292874010214519842e+01,9.238467129575978731e+01
6.800000000000000000e+02,9.316885246521336228e+01,9.316259707918841571e+01,9.246489065418107600e+01
7.200000000000000000e+02,8.977800230808817616e+01,8.973872903245452903e+01,8.972396523188386652e+01
7.600000000000000000e+02,9.149607186431538253e+01,8.953626788204552156e+01,9.097023923733804907e+01
8.000000000000000000e+02,8.834715350488174579e+01,8.824184717012961698e+01,8.828137185375535978e+01
8.400000000000000000e+02,8.944939024839482045e+01,8.816892217096959428e+01,8.903319252326228650e+01
8.800000000000000000e+02,8.913020952010143105e+01,8.768581664509400753e+01,8.870699028985499979e+01
9.200000000000000000e+02,9.318147003396263983e+01,8.215534139291702331e+01,8.940529930433442019e+01
9.600000000000000000e+02,9.296813059826264691e+01,8.955340924824899673e+01,9.142673380665871719e+01
1.000000000000000000e+03,9.337723721471205351e+01,9.175528745101988193e+01,8.947362479019750481e+01
1.040000000000000000e+03,9.452105097122615973e+01,9.452068353188627725e+01,9.328419500057822233e+01
1.080000000000000000e+03,9.279595398289207253e+01,8.791256110636858523e+01,9.257483836486477458e+01
1.120000000000000000e+03,9.171305537216116477e+01,9.038805683183562678e+01,9.166761680794964207e+01
1.160000000000000000e+03,9.053576598620260540e+01,8.653172508505062410e+01,9.021511207696919143e+01
1.200000000000000000e+03,8.991646895042548238e+01,8.434837518271656620e+01,8.978809975076934791e+01
1.240000000000000000e+03,9.278901888696249500e+01,8.037821157324020760e+01,9.120024270692026391e+01
1.280000000000000000e+03,9.209771037518166281e+01,6.930604260994009280e+01,9.061932954484871061e+01
1.320000000000000000e+03,9.237062802569226960e+01,8.308869094819331735e+01,9.123598865612333952e+01
1.360000000000000000e+03,9.279854901305495218e+01,6.926222888136382494e+01,8.881894927646033011e+01
1.400000000000000000e+03,9.253733893511312658e+01,8.716611612703779599e+01,9.187962735106475520e+01
1.440000000000000000e+03,9.007793170146136674e+01,8.868569082228876255e+01,8.691158088318881880e+01
1.480000000000000000e+03,9.182237875454548259e+01,7.783209447848419416e+01,8.936204536800131848e+01
1.520000000000000000e+03,9.048072099521652945e+01,6.834936028299168242e+01,9.047418186089559811e+01
1.560000000000000000e+03,8.926630088850562572e+01,6.225461479245524998e+01,8.433353137396709087e+01
1.600000000000000000e+03,8.711948227821996227e+01,6.702618649398253581e+01,8.357296383124790395e+01
1.640000000000000000e+03,8.588049431996489602e+01,6.852666376286612149e+01,7.802058093357530311e+01
1.680000000000000000e+03,8.408743055512823616e+01,7.547306696884464827e+01,7.506287988440836045e+01
1.720000000000000000e+03,8.003720373812028299e+01,7.286026054449355627e+01,6.390732180833902731e+01
1.760000000000000000e+03,7.842076921010402657e+01,7.072730612494578395e+01,6.720780301661456235e+01
