func_calls,mean_distances,grad_c_distances,pc_c_distances
4.000000000000000000e+01,9.844602363766007613e+01,9.562058207606348503e+01,nan
8.000000000000000000e+01,9.821351981861587888e+01,9.678300432752865845e+01,nan
1.200000000000000000e+02,9.750380999201476584e+01,9.596858326561097385e+01,nan
1.600000000000000000e+02,9.620593475065462030e+01,9.313312125144852871e+01,nan
2.000000000000000000e+02,9.565204945523397839e+01,8.728998350344915025e+01,nan
2.400000000000000000e+02,9.758858446306295775e+01,9.438191836816658054e+01,nan
2.800000000000000000e+02,9.363106943621956191e+01,8.666730911719025698e+01,8.849495878033491181e+01
3.200000000000000000e+02,9.958209255329303744e+01,9.602374300538642160e+01,9.612803994474003844e+01
3.600000000000000000e+02,1.073474824751862542e+02,1.059184345314279057e+02,1.046897135790248115e+02
4.000000000000000000e+02,1.055607625773321558e+02,1.027095860920977657e+02,1.055498402203613182e+02
4.400000000000000000e+02,1.013944530294111956e+02,9.748855100615242009e+01,1.006841674453583835e+02
4.800000000000000000e+02,1.012144942111281267e+02,9.754996080297757999e+01,1.012112388544539243e+02
5.200000000000000000e+02,1.030905340682233771e+02,1.014706867603060516e+02,1.026158060512965022e+02
5.600000000000000000e+02,1.170448531238529597e+02,1.060747933271983641e+02,9.783608518634649442e+01
6.000000000000000000e+02,1.249131455309497341e+02,1.148091202808192008e+02,9.992514655980244243e+01
6.400000000000000000e+02,1.349276116934300092e+02,1.348937548255728132e+02,9.829338570662311270e+01
6.800000000000000000e+02,1.370163942193724722e+02,1.357662985460255527e+02,1.070126909321765680e+02
7.200000000000000000e+02,1.398881916070917839e+02,1.397062439278494708e+02,1.087103885797591971e+02
7.600000000000000000e+02,1.245495000403975041e+02,1.209115559950001568e+02,1.245111527556424988e+02
8.000000000000000000e+02,1.287019328824932529e+02,1.285585437896788505e+02,1.270904853878610794e+02
8.400000000000000000e+02,1.195675563858942496e+02,1.192146688568559796e+02,1.192814021443551127e+02
8.800000000000000000e+02,1.370452362170890126e+02,1.345493043175011110e+02,1.244012696788957157e+02
9.200000000000000000e+02,1.484187281637640012e+02,1.484037996760827696e+02,1.283901199891148224e+02
9.600000000000000000e+02,1.523000537245682153e+02,1.220812069789750609e+02,1.282149200243606231e+02
1.000000000000000000e+03,1.529055389063843791e+02,1.407235156032291457e+02,1.313264493857861055e+02
1.040000000000000000e+03,1.317490623201909159e+02,1.074896171385980352e+02,1.317487210727286708e+02
1.080000000000000000e+03,1.220823789603291374e+02,9.821853356129633994e+01,1.102123440584343967e+02
1.120000000000000000e+03,1.241920755393251312e+02,1.228493129259782535e+02,1.231633092809421015e+02
1.160000000000000000e+03,1.291253715151273411e+02,1.280702545081595645e+02,1.230707715346101310e+02
1.200000000000000000e+03,1.264580158259017679e+02,9.999142832999376651e+01,1.196651004872997248e+02
1.240000000000000000e+03,1.118872651784683399e+02,1.078308472310136636e+02,5.116055013341347291e+01
1.280000000000000000e+03,1.181868362223222846e+02,1.094638185151265048e+02,1.127243772556930992e+02
1.320000000000000000e+03,1.120132863168937263e+02,8.939052282571523733e+01,1.119675171433610785e+02
1.360000000000000000e+03,1.044601584835021413e+02,8.797793349288033937e+01,8.934100727531279063e+01
1.400000000000000000e+03,8.971763829994326045e+01,5.272321319419754815e+01,3.444222142094121608e+01
1.440000000000000000e+03,9.521350043669262675e+01,5.518282660944819895e+01,7.313130883348533473e+01
1.480000000000000000e+03,9.087016856992872249e+01,5.778966311015696533e+01,7.686446522842450690e+01
1.520000000000000000e+03,7.832111617899326461e+01,7.002296769359165296e+01,3.820550108690108715e+01
1.560000000000000000e+03,8.051555869615668826e+01,4.376146029808152349e+01,5.985382286771453408e+01
1.600000000000000000e+03,7.964216788017952808e+01,5.617870723480240969e+01,6.883355090606629290e+01
1.640000000000000000e+03,8.050778916206648717e+01,5.694658523807056838e+01,6.818539564644015627e+01
1.680000000000000000e+03,7.964999573508765707e+01,6.304242549551450026e+01,7.516831412314201089e+01
1.720000000000000000e+03,7.462715604972956385e+01,7.276315842602684825e+01,6.060276622815023728e+01
