func_calls,mean_distances,grad_c_distances,pc_c_distances
800,429.33160563632094,398.04794696324313,
1600,428.71485211674235,397.84462523854273,
2400,427.8298642465741,397.48583978427894,
3200,426.5002136992976,397.033251697847,
4000,424.3407799372288,396.2294376080478,
4800,420.913297462949,394.92849453302995,
5600,415.6232345115451,392.622700902366,
6400,408.4178727584256,388.60769839262815,
7200,400.690207144773,383.02720650310795,
8000,395.6036771170472,378.6029448065356,
8800,395.4776391623356,378.96635776342794,
9600,397.06285118833324,381.3598306024462,393.3272503401482
10400,398.4170980135272,383.9316095500185,392.3936430366508
11200,400.2302324061711,386.6776134399237,391.50494514345075
12000,401.1589445059281,388.7970832412983,390.74857670346194
12800,403.2680386872736,391.4250298269967,390.3828605027891
13600,404.51810363204453,393.6892211871154,389.7310300845966
14400,406.63764839886045,396.2454634231575,389.79850353681826
15200,408.88082118926314,398.82033526911385,389.6307718818239
16000,410.6257844507134,401.1055653345195,388.9194452092373
16800,410.6741228147264,401.2737426927158,387.97765771947553
17600,412.71668902736513,403.822533416799,387.90755195028663
18400,415.7955493779123,406.9539648647236,387.8720246566774
19200,418.0540456136812,408.83759397298655,387.55715276556793
20000,419.37215093098916,410.7290566806624,387.4055130496041
20800,420.4043227786217,411.68848354945914,387.0427913532028
21600,421.14834149999814,413.1927017362647,386.6730082444616
22400,423.4113404924498,415.6877256589168,386.55972097174583
23200,425.5999099524766,417.8431508290039,386.352846645245
24000,426.25719968408964,418.39934893691577,386.0297689720479
24800,426.7929057739341,418.7401235309564,385.910998560496
25600,426.4161136807427,418.3122156779111,385.8286302271315
26400,426.2963243794337,418.55389909927516,385.62993389686955
27200,427.477301201083,420.2636703877485,385.9004527685361
28000,428.2117963670825,421.23236280563265,385.73519782437097
28800,429.96080971138457,423.42719912650347,385.76015180374276
29600,432.3037528507045,425.60589052805614,385.74536720936914
30400,433.27510243961956,426.7845287436323,385.8938983472553
31200,434.5854985488635,428.3567619984938,385.59203486746657
32000,436.28377883562644,429.53079629602985,385.43677234118246
32800,437.4807544602191,430.6103286513618,385.63531102378283
33600,438.60199121573316,432.0176159479407,385.56394044742206
34400,438.7032837162219,431.8411302857515,385.87720134480054
35200,438.940834634587,432.21073289970394,386.18044144554574
36000,439.505182147399,432.76305580707754,386.480786799657
36800,440.5773344108638,434.0128153310615,386.679579921876
37600,440.8588948619373,434.4261272979644,387.146358894397
38400,440.8375824981576,434.24103776178015,387.64837987483423
39200,441.4954240925199,435.0506920948166,388.0528402462353
40000,442.0849728954521,435.8954910821215,388.44540545985654
40800,442.6708026329702,436.6459133644819,388.9348115381209
41600,442.95819500003284,437.0104880770547,389.48437522524915
42400,443.30129346492134,437.2278392723628,389.79684863678864
43200,443.2381091983514,437.0415833044428,390.31222408758447
44000,444.5676529874203,438.5417445688913,390.4387771990945
44800,443.64671276508983,437.57622371742224,391.347694476392
45600,444.63302313708994,438.3970362529817,391.3269244715801
46400,445.8401179928278,439.83446531361636,391.3937893646671
47200,446.3722030446395,440.4835437567556,391.9363144592146
48000,447.04145708256675,441.0093732621124,392.522882099122
48800,446.7582306182079,440.56918396699734,393.00386112457096
49600,446.81248372573145,440.39166951278406,393.3642569495112
50400,447.44103191017376,440.90875522030217,394.2979092318563
51200,448.9383907218633,442.5073365510881,394.43490674057983
52000,449.4522094619603,442.895110355243,395.03125831087897
52800,450.20161856553364,443.7724519677124,395.57528682692003
53600,449.869272881689,443.6224394470126,396.33728408586705
54400,449.91974069564463,443.6136433591609,396.93500468436827
55200,450.6415992590335,444.25796741697525,397.0936354454867
56000,451.4713110545743,444.5883355132774,397.37822335907185
56800,452.0743307032288,445.26314058874215,397.77956459546687
57600,452.7000937103845,446.2080114692401,398.5347247924791
58400,453.1005488386672,446.2730469412862,398.76196532393436
59200,453.3863941144493,446.50105116368235,399.3720933146654
60000,453.55312588388256,446.65283947152335,400.2970112991186
60800,453.4757426356431,446.9142285111526,401.28563090207126
61600,453.84122124099144,447.13201191060716,401.72842587687154
62400,453.8512409032547,447.12907677351126,402.4495217021865
63200,453.6630698900766,447.27989195570706,403.0772280442509
64000,453.4290730945072,446.9574924316959,403.968225546176
64800,452.9153959582733,446.32374173663663,405.1767544289837
65600,452.5964725459318,446.4051085665617,406.1213687385834
66400,452.402388057523,446.0471564715442,406.7176250023689
67200,452.27859816787947,445.5905261436965,407.1933035575533
68000,452.55936795096625,445.8670058659988,407.58260658153483
68800,453.2713068551624,446.3877022349762,408.0251922042829
69600,453.530770622377,446.72391451621894,408.62723974957504
70400,453.34360264053095,446.6358416513823,409.42216717929136
71200,452.88945755903706,446.05460738775406,410.3653049795386
72000,452.6899808518062,445.5528823617565,411.21451845325134
72800,453.26900242559503,446.4364396142039,411.7802574864879
73600,453.12672245055154,445.82288136088994,413.1095011934711
74400,453.1147186709367,446.0462684980432,413.78536236612723
75200,452.6437178511166,445.91838989141166,414.6991440515114
76000,452.384556874606,445.5662939519249,415.4800953329509
76800,452.27965630591376,445.3593043653393,416.0977359673613
77600,452.0854397028961,444.8778169563062,417.02691148151894
78400,451.9536728925592,444.3823334718196,417.7173651096909
79200,451.99264509630774,444.57221858517113,418.0707235360367
80000,451.9145200021449,445.1283102715181,418.82450649893246
80800,451.4444121778942,444.53400361728177,419.7254180057077
81600,451.46154233754913,444.7853641289375,420.3074924205861
82400,451.0296962190572,444.0210253694378,420.98898146817476
83200,450.52422580217564,443.53801338313775,421.7642380367491
84000,450.05982725289425,442.9327127950366,422.13041296107
84800,449.8486429809262,442.84597470126306,422.603815210854
85600,449.4534360811436,442.34276722308414,423.1854109555919
86400,449.3991323140292,441.80404159909625,423.8851014507592
87200,449.37907900203606,441.8875667981881,424.28366347457165
88000,449.4409116641969,442.2931453110482,424.57935116670143
88800,449.4738261296487,441.8187131344177,424.9794682395046
89600,449.1068902476287,441.3951029049292,425.7780459831047
90400,448.3298550560954,440.3462164108165,426.85291931635214
91200,448.22141142538106,439.86437144282485,427.14814591955707
92000,448.1865153736905,440.41560299221584,427.6014798938936
92800,448.26862732867943,440.11481449449667,427.8412270094192
93600,447.9809008036149,440.0561127859013,428.18769163912896
94400,447.4110881466534,439.36565971864565,428.84660797251615
95200,447.2247880830117,439.24110722006867,429.2677408584687
96000,446.53670584902227,438.70834802860105,429.3598139098646
96800,446.54954371095823,438.4252562016152,429.79622552373337
97600,446.0554853154229,437.83593301961605,429.96904076758534
98400,445.67471939993703,437.35312364616897,430.377385637087
