# evals, best
1.020000000000000000e+02,2.703701435241526365e+07
2.040000000000000000e+02,2.361510845777915418e+07
3.060000000000000000e+02,2.271971544210983813e+07
3.570000000000000000e+02,2.232975328573573753e+07
4.080000000000000000e+02,2.196127993631866574e+07
5.100000000000000000e+02,2.180624960994884372e+07
5.610000000000000000e+02,2.176794283929294348e+07
6.120000000000000000e+02,2.172408945380321890e+07
6.630000000000000000e+02,2.169143179779491574e+07
7.140000000000000000e+02,2.164958827581445128e+07
7.650000000000000000e+02,2.163888544490312785e+07
8.160000000000000000e+02,2.162327823294837773e+07
8.670000000000000000e+02,2.160978855248392746e+07
9.180000000000000000e+02,2.159330455151129887e+07
9.690000000000000000e+02,2.158037091293712333e+07
1.020000000000000000e+03,2.156448006217046082e+07
1.071000000000000000e+03,2.155603743128591031e+07
1.122000000000000000e+03,2.154504702110666782e+07
1.173000000000000000e+03,2.153061742054051161e+07
1.224000000000000000e+03,2.150516954941648990e+07
1.275000000000000000e+03,2.146600674694486335e+07
1.326000000000000000e+03,2.140106381355551630e+07
1.377000000000000000e+03,2.129986247898029536e+07
1.428000000000000000e+03,2.112946145182836801e+07
1.479000000000000000e+03,2.080868523188226670e+07
1.530000000000000000e+03,2.021572307066081092e+07
1.581000000000000000e+03,1.910146930393982306e+07
1.632000000000000000e+03,1.722146456311018765e+07
1.683000000000000000e+03,1.459859471407357231e+07
1.734000000000000000e+03,1.166627238915388659e+07
1.785000000000000000e+03,9.623396445053366944e+06
1.887000000000000000e+03,8.755891895169712603e+06
1.938000000000000000e+03,8.058479128352688625e+06
1.989000000000000000e+03,7.586162979190926999e+06
2.091000000000000000e+03,7.395697730608303100e+06
2.142000000000000000e+03,7.108006625337977894e+06
2.193000000000000000e+03,6.622191694655176252e+06
2.244000000000000000e+03,5.850260388775616884e+06
2.295000000000000000e+03,4.506283398607878014e+06
2.346000000000000000e+03,2.902400745580599178e+06
2.448000000000000000e+03,2.140187189715524204e+06
2.550000000000000000e+03,1.882423561556509929e+06
2.601000000000000000e+03,1.482101275742927799e+06
2.652000000000000000e+03,8.998469291420303052e+05
2.703000000000000000e+03,2.973686549356277101e+05
2.805000000000000000e+03,1.514497835504129762e+05
2.907000000000000000e+03,9.729138962715768139e+04
2.958000000000000000e+03,3.165573283269568128e+04
3.060000000000000000e+03,6.935119150351196367e+03
3.162000000000000000e+03,1.544082047931042098e+03
3.264000000000000000e+03,6.662159183197675247e+02
3.315000000000000000e+03,2.259491338293028662e+02
3.417000000000000000e+03,6.018755167446713017e+01
3.468000000000000000e+03,1.178993759892424364e+01
3.519000000000000000e+03,3.474797848158100777e+00
3.570000000000000000e+03,1.245120084796057736e+00
3.621000000000000000e+03,8.542010546280192143e-03
3.672000000000000000e+03,4.303838164043967255e-04
3.723000000000000000e+03,1.568113723149451772e-04
3.774000000000000000e+03,1.950744607022603437e-06
3.825000000000000000e+03,3.034733416403228547e-08
3.876000000000000000e+03,2.398933318595472353e-10
3.927000000000000000e+03,2.259158587450611266e-10
