func_calls,golden_step_size,regular_step_size
6.700000000000000000e+01,7.394062756871414344e+00,7.206879457738708084e+00
6.500000000000000000e+01,8.093172287825860067e+00,1.751751313043142577e+00
6.100000000000000000e+01,6.336224473532543477e+00,3.052205449248436508e+00
5.600000000000000000e+01,4.051912598163470491e+00,2.683582701461669551e+00
5.700000000000000000e+01,3.135204265334342377e+00,1.053575099624268763e+00
5.500000000000000000e+01,2.938229651317220803e+00,1.354066222418606857e+00
5.200000000000000000e+01,2.575053204202952806e+00,9.468579541207340633e-02
4.700000000000000000e+01,1.996894018432995743e+00,1.451283227182642577e-01
4.900000000000000000e+01,5.258010687795492411e-01,5.727471808923213503e-01
4.800000000000000000e+01,3.356734002620384016e-01,2.966269926499103815e-01
4.600000000000000000e+01,8.449490998577410261e-01,6.136103991847813299e-02
4.500000000000000000e+01,1.229812787677585506e+00,6.151280330901520883e-03
4.200000000000000000e+01,3.803351711448831107e+00,3.146554100837194255e-03
4.000000000000000000e+01,6.413966818791189795e+00,9.357347039595149442e-04
4.200000000000000000e+01,1.156657212164471638e+01,2.402074460136946111e-05
4.300000000000000000e+01,2.367153557404846964e+01,2.074174702525996943e-05
4.300000000000000000e+01,5.203113777135794749e+01,2.354318256850434590e-05
4.300000000000000000e+01,1.122992424609403201e+02,7.122410340369758693e-07
4.300000000000000000e+01,2.192616848655385695e+02,2.824532556036996449e-07
4.300000000000000000e+01,4.689814566519170853e+02,1.264600111406734012e-07
