func_calls,golden_step_size,regular_step_size
6.900000000000000000e+01,8.491628966278968349e+00,3.303579852671444161e+00
6.500000000000000000e+01,9.080613018132162040e+00,4.885632627999809685e+00
6.200000000000000000e+01,9.502350359118187484e+00,2.839511804856501787e+00
5.700000000000000000e+01,7.788916469568778034e+00,1.636902393236957964e+00
5.500000000000000000e+01,4.134610187193052511e+00,2.741935048075883063e+00
5.500000000000000000e+01,4.251141492975449299e-01,1.760323174922945544e+00
5.300000000000000000e+01,2.157091918207892922e-01,1.469035306206886438e-01
5.100000000000000000e+01,2.348046502393686674e-01,8.566448251164242300e-02
4.900000000000000000e+01,2.791692702024480277e-01,7.785122859583022692e-02
4.700000000000000000e+01,5.238739266361972513e-01,9.042249644162485972e-03
4.600000000000000000e+01,1.052065670577716050e+00,3.260739579514507474e-03
4.500000000000000000e+01,1.796231740129528021e+00,7.522834884121675555e-04
4.200000000000000000e+01,4.388019707401370262e+00,3.512685670626323228e-04
4.200000000000000000e+01,1.148820294240478113e+01,5.378796057948983671e-05
4.300000000000000000e+01,1.858507603415047882e+01,1.861785730873068430e-05
4.300000000000000000e+01,3.756359196753496121e+01,2.305321832797426649e-06
4.300000000000000000e+01,7.361600390622233192e+01,1.720561637489063647e-06
4.300000000000000000e+01,1.333888402991653948e+02,3.095520321630547705e-07
4.300000000000000000e+01,3.162875195579991896e+02,3.181116671435780863e-08
