func_calls,golden_step_size,regular_step_size
6.900000000000000000e+01,8.221710788450163676e+00,4.552854719927267979e+00
6.400000000000000000e+01,7.344612106439771360e+00,3.753771900561299280e+00
6.200000000000000000e+01,7.714598699866865417e+00,2.257462407290092621e+00
5.800000000000000000e+01,6.712420589550413652e+00,3.468453401575617434e+00
5.600000000000000000e+01,2.618758853896360428e+00,2.114637223702075186e+00
5.400000000000000000e+01,1.785378539512862739e+00,6.991340845304168106e-01
5.300000000000000000e+01,1.179503168325541917e+00,8.478204170155265729e-01
5.000000000000000000e+01,7.252440843877749899e-01,3.403533208627942952e-01
4.900000000000000000e+01,4.530538746595612065e-01,1.829149690902314440e-01
4.700000000000000000e+01,4.878698975311615560e-01,1.244415617304669430e-01
4.700000000000000000e+01,6.935396514882525842e-01,9.610108041055163627e-03
4.500000000000000000e+01,1.516522166917816605e+00,5.831620456904681657e-03
4.300000000000000000e+01,3.151260478758773242e+00,7.219469704180112501e-04
4.100000000000000000e+01,6.831081044191693152e+00,2.269031005067917244e-04
4.300000000000000000e+01,1.825883821707172672e+01,2.536777414733435435e-05
4.300000000000000000e+01,2.955671473138074745e+01,2.499652079869538413e-05
4.300000000000000000e+01,7.702216533578642554e+01,2.359394593686377046e-06
4.300000000000000000e+01,1.480244838758981700e+02,2.148131424990863889e-07
4.300000000000000000e+01,3.033138167826992344e+02,1.001498998763274239e-08
4.300000000000000000e+01,5.477325449507286521e+02,3.477139257528376080e-08
