func_calls,golden_step_size,regular_step_size
7.000000000000000000e+01,1.167914428099228630e+01,8.698196523913969358e+00
6.500000000000000000e+01,9.099306592056191079e+00,3.993144852047370019e+00
6.200000000000000000e+01,6.571273406665629757e+00,4.523972719840410051e+00
5.900000000000000000e+01,7.047772821628070616e+00,2.943950754759586896e+00
5.500000000000000000e+01,4.313431837105247801e+00,1.515622647043247673e+00
5.400000000000000000e+01,3.574394196975672955e+00,2.253998883722065916e+00
5.100000000000000000e+01,2.761464725883436611e+00,1.585187199339715303e+00
5.100000000000000000e+01,9.001483668970525764e-01,7.042858247000377547e-01
4.900000000000000000e+01,3.997208256920674607e-01,2.844037365965754738e-01
4.800000000000000000e+01,3.659680892102316618e-01,1.202681904726845691e-01
4.600000000000000000e+01,7.588613041912314339e-01,6.735878981067633213e-03
4.400000000000000000e+01,2.030689593097628531e+00,1.948618570668193307e-03
4.300000000000000000e+01,3.163435155730064174e+00,7.538536491718975194e-04
4.000000000000000000e+01,6.568577136510244330e+00,1.277111769396899210e-04
4.300000000000000000e+01,1.451077978570938321e+01,4.676962397132862514e-05
4.300000000000000000e+01,3.464077132433901340e+01,9.833986445030816809e-06
4.300000000000000000e+01,6.964238344853026774e+01,2.641874126630051922e-06
4.300000000000000000e+01,1.405173608433387074e+02,7.417946883373586505e-07
4.300000000000000000e+01,2.928873162010034434e+02,3.495510096974586920e-08
4.300000000000000000e+01,5.500722028138767428e+02,1.917825214813938448e-08
