func_calls,golden_step_size,regular_step_size
7.100000000000000000e+01,6.786638676928783198e+00,3.954492582664135281e+00
6.500000000000000000e+01,4.343860335431253716e+00,2.887893271354982527e+00
6.200000000000000000e+01,3.686673546056460360e+00,3.104587325460986591e+00
5.800000000000000000e+01,3.134619214186312508e+00,8.836375114010948106e-01
5.600000000000000000e+01,3.088963952445171746e+00,2.392822735398980161e+00
5.200000000000000000e+01,2.862903004875925195e+00,8.447313077080209620e-01
5.000000000000000000e+01,1.347749021550704418e+00,8.210011282967698554e-01
5.100000000000000000e+01,6.954094228628217300e-02,2.918087878773651389e-01
5.000000000000000000e+01,1.857749694609686641e-01,4.479113650933488899e-02
4.800000000000000000e+01,4.157276919213668265e-01,6.685228974154719221e-03
4.600000000000000000e+01,9.255958696587106571e-01,8.285533587036447972e-04
4.400000000000000000e+01,2.498543508841958083e+00,5.023590573978160660e-04
4.200000000000000000e+01,3.383484150333094576e+00,7.006572566410288871e-04
4.100000000000000000e+01,7.280879836665004490e+00,1.419193073137169352e-05
4.300000000000000000e+01,1.380333550491689820e+01,1.652355773839629736e-05
4.300000000000000000e+01,2.799590741253797432e+01,3.308902066517916039e-06
4.300000000000000000e+01,7.622641218834219501e+01,4.983623255724261235e-07
4.300000000000000000e+01,9.682912684365798839e+01,7.930356249792168003e-08
4.300000000000000000e+01,2.818471214716386157e+02,1.012770952305931937e-07
