func_calls,golden_step_size,regular_step_size
6.800000000000000000e+01,7.456322973464573955e+00,6.435569483441756944e+00
6.600000000000000000e+01,1.117145395938498886e+01,3.141365009535895148e+00
6.100000000000000000e+01,1.157504305017905999e+01,1.552055908575920462e+00
5.800000000000000000e+01,1.251269109509363631e+01,2.460666815394025431e+00
5.600000000000000000e+01,1.141895135279948903e+01,8.536787463313583180e-01
5.300000000000000000e+01,1.024461747586516402e+01,3.902331402507869473e+00
5.300000000000000000e+01,7.469666185106768275e+00,2.522860196483929229e+00
5.100000000000000000e+01,2.500673589289297283e+00,1.468236227782212744e+00
4.900000000000000000e+01,2.338681756408086398e-01,3.286119874338550018e-01
4.800000000000000000e+01,3.926970762154710637e-01,4.122886342641136903e-02
4.600000000000000000e+01,8.084799309672928702e-01,1.967843220689418152e-02
4.500000000000000000e+01,1.772287677927327332e+00,5.842513509980558351e-03
4.200000000000000000e+01,3.539710927328221235e+00,6.890523002981399810e-04
4.200000000000000000e+01,8.266542611038143917e+00,4.150105217333530799e-05
4.300000000000000000e+01,1.607007725417177113e+01,5.979635720187220831e-05
4.300000000000000000e+01,3.924374895921168616e+01,6.205412353017986893e-06
4.300000000000000000e+01,6.200306891614664551e+01,5.869386595393311120e-06
4.300000000000000000e+01,1.378986787829102525e+02,3.425137571655240396e-07
4.300000000000000000e+01,2.726463373588043737e+02,1.849506121784811396e-07
3.600000000000000000e+01,5.760790614901109166e+02,1.557581811725563598e-08
