func_calls,golden_step_size,regular_step_size
6.800000000000000000e+01,7.376165335263018541e+00,4.897445056023028265e+00
6.500000000000000000e+01,9.301718055785247685e+00,2.492695012564046575e+00
6.200000000000000000e+01,9.301969211824600237e+00,2.742633697916795121e+00
5.800000000000000000e+01,8.342941119487498725e+00,1.445999152188149228e+00
5.700000000000000000e+01,5.156986538433142364e+00,4.001647339924977231e+00
5.500000000000000000e+01,3.344124721829366376e+00,1.741117868099753663e+00
5.200000000000000000e+01,2.836142923001187643e+00,1.000544928040014714e+00
5.100000000000000000e+01,2.104216307178495615e+00,2.274270784357156627e-01
4.900000000000000000e+01,1.066126024413162288e+00,1.021350597572288077e+00
4.800000000000000000e+01,3.673301688594813874e-01,4.053782697069736041e-01
4.600000000000000000e+01,8.154051126172956465e-01,2.697375676326150759e-02
4.500000000000000000e+01,1.524564023807133628e+00,7.806718196338231948e-03
4.200000000000000000e+01,3.360464935214330318e+00,8.911858286030135273e-03
4.000000000000000000e+01,6.313074769423892896e+00,2.024238137118781209e-04
4.300000000000000000e+01,1.618952706454572166e+01,1.288014112032616018e-04
4.300000000000000000e+01,3.304642349721854089e+01,2.464799194749314921e-05
4.300000000000000000e+01,8.739476243618943840e+01,3.553621237661763562e-06
4.300000000000000000e+01,1.341889419099952931e+02,2.681938612154425952e-06
4.300000000000000000e+01,2.421126592857755782e+02,5.146853126394471943e-07
4.300000000000000000e+01,4.645263940945965260e+02,8.448958499710784662e-08
4.200000000000000000e+01,1.270295641284472140e+03,3.367270307500622443e-08
