func_calls,golden_step_size,regular_step_size
7.000000000000000000e+01,3.925455986260416363e+00,5.835620084437809219e+00
6.500000000000000000e+01,6.449834393754066753e+00,3.706337711146222347e+00
6.100000000000000000e+01,8.357577513454803153e+00,1.602099497095601732e+00
5.900000000000000000e+01,7.775400194149527877e+00,1.645164582708261936e+00
5.600000000000000000e+01,7.673167354123954453e+00,2.591527104951600879e+00
5.400000000000000000e+01,4.345497192829527400e+00,3.184903709895937407e+00
5.100000000000000000e+01,1.741325232182101335e+00,2.249469580468415941e+00
5.100000000000000000e+01,2.889948111704346290e-01,1.253493940460807532e-01
4.900000000000000000e+01,2.156007660583076635e-01,9.154453675720930494e-02
4.700000000000000000e+01,4.722683533435545478e-01,2.394706609948937109e-02
4.600000000000000000e+01,1.013207764203083006e+00,1.954651786112513584e-03
4.400000000000000000e+01,2.164376134776186511e+00,6.734964978755792961e-04
4.200000000000000000e+01,3.310535962225632289e+00,2.177402039918616638e-04
4.000000000000000000e+01,6.619610197689417497e+00,1.181592062783672358e-04
4.300000000000000000e+01,1.791915399734523717e+01,4.801445955989039968e-06
4.300000000000000000e+01,3.267626392246383915e+01,1.589946273017175763e-06
4.300000000000000000e+01,9.650482483479156315e+01,1.938126181767992089e-07
4.300000000000000000e+01,2.318050803196383924e+02,1.212166268734764549e-07
4.300000000000000000e+01,5.121466545074401893e+02,2.029490955337792193e-08
