func_calls,golden_step_size,regular_step_size
6.900000000000000000e+01,6.711361884035680347e+00,4.411850614603889831e+00
6.500000000000000000e+01,5.910155710111394178e+00,3.467113961764652252e+00
6.200000000000000000e+01,5.041067792077032372e+00,1.369900536291722037e+00
5.900000000000000000e+01,4.909530195835520416e+00,2.468629970589782729e+00
5.600000000000000000e+01,3.311312343582776485e+00,5.288147191517811319e-01
5.300000000000000000e+01,2.055256607683735304e+00,5.571402061315666732e-01
5.200000000000000000e+01,9.364427459355105787e-01,5.550128206363558192e-01
4.900000000000000000e+01,5.432768955321219950e-01,2.249071041544122851e-01
4.800000000000000000e+01,3.200596899094776404e-01,1.697955488417690340e-01
4.700000000000000000e+01,4.778490018016552932e-01,2.043688764189779614e-02
4.700000000000000000e+01,7.016603447151836814e-01,8.248385213533831681e-03
4.500000000000000000e+01,1.427016015997765397e+00,1.493114787470580527e-03
4.200000000000000000e+01,4.153266613233359550e+00,3.264557969505778681e-04
4.100000000000000000e+01,7.381876076488481431e+00,3.572392155916546220e-05
4.300000000000000000e+01,1.714402936459862659e+01,2.721366256396997200e-05
4.300000000000000000e+01,4.002024807578398935e+01,4.874355618516905263e-06
4.300000000000000000e+01,5.390887011700557707e+01,2.921968771206100951e-06
4.300000000000000000e+01,1.066124157094206026e+02,4.666257540294108831e-07
4.300000000000000000e+01,3.125737607794232531e+02,7.658494692140546738e-08
3.600000000000000000e+01,5.762507288745290452e+02,4.241436025841183293e-08
