func_calls,golden_step_size,regular_step_size
6.600000000000000000e+01,6.544337820433478115e+00,9.777950726065178344e+00
6.500000000000000000e+01,7.242199675244807011e+00,4.170592035930491548e+00
6.100000000000000000e+01,8.583783128818875952e+00,2.713055167228495268e+00
5.900000000000000000e+01,8.026201732767363595e+00,2.539652010126094872e+00
5.500000000000000000e+01,6.925838819006575164e+00,1.520456450161903783e+00
5.400000000000000000e+01,4.563255348952235835e+00,2.476062159220065784e+00
5.200000000000000000e+01,1.756515761742978965e+00,1.787150255815271205e+00
5.100000000000000000e+01,1.351960061721933171e+00,3.943263301427522016e-01
4.700000000000000000e+01,1.145833272712002859e+00,4.166205784088712893e-01
4.700000000000000000e+01,6.185053781171353515e-01,2.039068034947811303e-01
4.600000000000000000e+01,8.665122582207738233e-01,1.430469084440920587e-02
4.500000000000000000e+01,1.529174982508802128e+00,9.102410820787248946e-03
4.200000000000000000e+01,3.902351238980330095e+00,2.773787072993231032e-03
4.100000000000000000e+01,7.107629535172684143e+00,6.508209950626107389e-04
4.300000000000000000e+01,1.978004867251910781e+01,1.443501823953499479e-04
4.300000000000000000e+01,3.653101572896417792e+01,1.494002183149426680e-05
4.300000000000000000e+01,6.901158259524999039e+01,6.103248656011080636e-06
4.300000000000000000e+01,1.578234305090641101e+02,4.828535457602658643e-07
4.300000000000000000e+01,3.782158626621175586e+02,2.158395139440382435e-07
4.100000000000000000e+01,7.445092480651454707e+02,4.365404291612276636e-08
