func_calls,golden_step_size,regular_step_size
6.700000000000000000e+01,6.251006335781034373e+00,2.608214933031917315e+00
6.500000000000000000e+01,6.135348655995635170e+00,4.958197278071319936e+00
6.000000000000000000e+01,5.730870663474394888e+00,1.503190110327514040e+00
5.900000000000000000e+01,5.145642354009193120e+00,6.857160585371566697e-01
5.600000000000000000e+01,5.181000754977289624e+00,1.195593817071773479e+00
5.300000000000000000e+01,5.459079846962572091e+00,4.678038957289066824e-01
5.100000000000000000e+01,3.817828343354280118e+00,2.343510246450887013e+00
5.000000000000000000e+01,1.753220857991669490e+00,7.648411993665413799e-01
5.000000000000000000e+01,3.370727444564582953e-01,5.649329832557883346e-01
4.700000000000000000e+01,5.493345712387246449e-01,7.894750422938980050e-02
4.600000000000000000e+01,7.737362835631433899e-01,9.740439463491869926e-03
4.500000000000000000e+01,1.477020403245669522e+00,1.584279410510358935e-02
4.200000000000000000e+01,3.644890442644264983e+00,3.400942937609732590e-03
4.100000000000000000e+01,7.839830875524198106e+00,2.917538408708595515e-04
4.300000000000000000e+01,1.411270149936868101e+01,6.501626057034568462e-05
4.300000000000000000e+01,3.236257207710952599e+01,2.265087799048178920e-05
4.300000000000000000e+01,6.718003787420647654e+01,2.107890063881533262e-06
4.300000000000000000e+01,1.100565288613438355e+02,2.502851682524648881e-07
4.300000000000000000e+01,2.780649061447895178e+02,2.665855057719846701e-07
4.000000000000000000e+01,6.845233352170649823e+02,3.956041190615030837e-08
