func_calls,golden_step_size,regular_step_size
6.700000000000000000e+01,9.478001187546079009e+00,3.671005002698667585e+00
6.400000000000000000e+01,9.408717463684729054e+00,1.540227392277221607e+00
6.200000000000000000e+01,9.303168696432390306e+00,3.310609530329215566e+00
5.800000000000000000e+01,8.366663348967126268e+00,1.829313559489169183e+00
5.600000000000000000e+01,6.658430669677557923e+00,1.554284329424574507e+00
5.500000000000000000e+01,4.783878078938831102e+00,2.839983764063856331e+00
5.200000000000000000e+01,4.210414663547538794e+00,4.802431247653201618e-01
5.000000000000000000e+01,3.093079677983022968e+00,1.401187019548808754e+00
5.000000000000000000e+01,9.073856861093374526e-01,1.423877307601604025e+00
4.800000000000000000e+01,4.353239598995315984e-01,4.234925555931387531e-02
4.700000000000000000e+01,7.466652394414784455e-01,6.300836286104795347e-02
4.500000000000000000e+01,1.962468712232874113e+00,8.567187815176901004e-04
4.200000000000000000e+01,3.759798288888807516e+00,2.816818293326969497e-03
4.100000000000000000e+01,7.902806625418509867e+00,1.593666792369298631e-04
4.300000000000000000e+01,1.466287911374178776e+01,5.962126448967811489e-05
4.300000000000000000e+01,2.992415027259050575e+01,3.238957681248315102e-05
4.300000000000000000e+01,7.984393191660065270e+01,9.274583875871497964e-06
4.300000000000000000e+01,1.432889260413293187e+02,2.063256343340472870e-06
4.300000000000000000e+01,3.009068267230900915e+02,3.003713065620219860e-07
4.000000000000000000e+01,6.585756173878967275e+02,1.064951278891636373e-07
4.200000000000000000e+01,1.405145472677573025e+03,5.421961148692576723e-08
