func_calls,golden_step_size,regular_step_size
6.900000000000000000e+01,7.394803684077241535e+00,1.306125522940826222e+01
6.500000000000000000e+01,8.524702293507788298e+00,4.266174922120436364e+00
6.100000000000000000e+01,6.038617374831537710e+00,3.862872328473368810e+00
5.900000000000000000e+01,4.378783177265265891e+00,3.104372158095757950e+00
5.500000000000000000e+01,3.154486791281253311e+00,7.510202819237792315e-01
5.400000000000000000e+01,1.370789453549382753e+00,1.353855221963864874e+00
5.300000000000000000e+01,3.847471821699029459e-01,9.210419394575855012e-01
5.100000000000000000e+01,1.243260360130635789e-01,2.696312318531121632e-01
4.900000000000000000e+01,2.013885400543153903e-01,5.365861026851559412e-02
4.800000000000000000e+01,4.567661568442328845e-01,4.115671637625365267e-03
4.600000000000000000e+01,1.094710522961239052e+00,2.059065045043279116e-03
4.500000000000000000e+01,1.510862564291048926e+00,6.083872837627595474e-04
3.700000000000000000e+01,5.308641260849680243e+00,6.808721828945506151e-05
4.100000000000000000e+01,8.241286837642684659e+00,1.157868693026106616e-05
4.200000000000000000e+01,1.296175239033435567e+01,4.534024351697514743e-06
4.300000000000000000e+01,3.307700719594040351e+01,1.250479607383358180e-06
4.300000000000000000e+01,7.800472690304556522e+01,6.528812629243803223e-07
4.300000000000000000e+01,1.502440048837014217e+02,8.650764680894218906e-08
