func_calls,golden_step_size,regular_step_size
7.000000000000000000e+01,1.188214653428248901e+01,2.579388469075321044e+00
6.600000000000000000e+01,1.236638756603504952e+01,3.195203273585805803e+00
6.000000000000000000e+01,1.025475605738775364e+01,3.068984967966854160e+00
5.900000000000000000e+01,6.580864329962284209e+00,5.087319940257024165e+00
5.700000000000000000e+01,5.946212950774890871e+00,1.442534796115178874e+00
5.300000000000000000e+01,4.807782288177903318e+00,1.483230887919601226e+00
5.300000000000000000e+01,1.430947075251311151e+00,3.404868550773548996e+00
5.100000000000000000e+01,9.300120073745330451e-01,4.206089837357165351e-01
5.000000000000000000e+01,2.588784515668256514e-01,4.955685576101754308e-01
4.700000000000000000e+01,5.150301256763354374e-01,8.961767505771564557e-02
4.700000000000000000e+01,7.483960507819938934e-01,2.068594416739682335e-02
4.500000000000000000e+01,1.478461283258122316e+00,3.147177873480521554e-03
4.300000000000000000e+01,2.719211833824281666e+00,1.016257114776978731e-03
4.000000000000000000e+01,6.320828208754346811e+00,1.740199412147519725e-04
4.200000000000000000e+01,1.213137133359879449e+01,4.352397655064733667e-05
4.300000000000000000e+01,2.977318662093415469e+01,1.297138430832430123e-05
4.300000000000000000e+01,4.904753252148109510e+01,2.936902537151115322e-06
4.300000000000000000e+01,1.138399369048734258e+02,9.478426140924474543e-07
4.300000000000000000e+01,2.319690487488408621e+02,3.083612343750553557e-07
4.300000000000000000e+01,4.246561633375855536e+02,9.596091933131839858e-08
