func_calls,golden_step_size,regular_step_size
6.800000000000000000e+01,8.486023021069710737e+00,3.069413342691862834e+00
6.500000000000000000e+01,8.740193842260712387e+00,2.494167201800887135e+00
6.200000000000000000e+01,8.069347252698849005e+00,1.004599412614325393e+00
5.900000000000000000e+01,6.859651864230695395e+00,2.007087532336668367e+00
5.600000000000000000e+01,5.918362085873545730e+00,1.710451106318003012e+00
5.400000000000000000e+01,5.336732815764102078e+00,8.466014055173503028e-01
5.100000000000000000e+01,4.680458190588343115e+00,9.327382088526746662e-01
4.900000000000000000e+01,2.814329136763261019e+00,1.966210348072962910e+00
4.900000000000000000e+01,2.896574686643693664e-01,8.544673804105906711e-01
4.700000000000000000e+01,5.297229755844098387e-01,5.181431721064413964e-02
4.600000000000000000e+01,9.147608076719082604e-01,6.288425793317107583e-03
4.500000000000000000e+01,1.289836161967541805e+00,3.555574248141570807e-03
4.200000000000000000e+01,3.558017305731115076e+00,4.509737371243230809e-04
4.200000000000000000e+01,8.646173814437174698e+00,1.253693711487192735e-04
4.300000000000000000e+01,1.675118516292491933e+01,1.849786558584882903e-05
4.300000000000000000e+01,3.165659594822559697e+01,1.537504857258510471e-06
4.300000000000000000e+01,6.943171849923589889e+01,1.457171441290362951e-06
4.300000000000000000e+01,1.433425792725776375e+02,7.048814392460866044e-07
4.300000000000000000e+01,3.046576610816627522e+02,5.442559390152591831e-08
