func_calls,golden_step_size,regular_step_size
6.800000000000000000e+01,9.543577032403675275e+00,6.630771548844790253e+00
6.400000000000000000e+01,8.235549488293289144e+00,2.918540991907893289e+00
6.100000000000000000e+01,9.370055861719475132e+00,1.687706116126717282e+00
5.800000000000000000e+01,8.604156923396972800e+00,4.443266827709756228e+00
5.600000000000000000e+01,6.562082479203992236e+00,1.769353724418450513e+00
5.400000000000000000e+01,2.614319399418028933e+00,4.378519976967928606e+00
5.300000000000000000e+01,2.691374921837894618e-01,1.283297396212161656e+00
5.100000000000000000e+01,3.446853993420909701e-01,1.290790513897865366e-01
4.800000000000000000e+01,4.153685573983371682e-01,5.438413363869822048e-02
4.800000000000000000e+01,4.075460888049531327e-01,4.130372176040728038e-02
4.600000000000000000e+01,9.909769056379299501e-01,3.455259839604545198e-03
4.500000000000000000e+01,1.593391036144980344e+00,1.739123476313720858e-03
4.200000000000000000e+01,3.554383974714148575e+00,4.257522140576954503e-04
4.100000000000000000e+01,7.829945231763629998e+00,2.402003799612183698e-05
4.300000000000000000e+01,1.737800311603862724e+01,3.446159508082915086e-05
4.300000000000000000e+01,3.226573381172125465e+01,1.408580882884035635e-06
4.300000000000000000e+01,7.078455009327626613e+01,6.413847926325460026e-07
4.300000000000000000e+01,1.244467517475330425e+02,9.424121943221356006e-08
4.300000000000000000e+01,2.805022878842636374e+02,3.225896172561206005e-08
