F15: Hybrid Function 6,18938,CMAVariation.FORWARD_DIFFERENCE_C,3, 2.9322934437688877e+29
F15: Hybrid Function 6,18978,CMAVariation.FORWARD_DIFFERENCE_C,3, 2.9322933996855657e+29
F15: Hybrid Function 6,19018,CMAVariation.FORWARD_DIFFERENCE_C,3, 2.932293454696709e+29
F16: Hybrid Function 7,35547,CMAVariation.PC_C,1, 4.256441054741705e+56
F16: Hybrid Function 7,35587,CMAVariation.PC_C,1, 4.25643936824608e+56
F16: Hybrid Function 7,35627,CMAVariation.PC_C,1, 4.25643984702992e+56
F16: Hybrid Function 7,35667,CMAVariation.PC_C,1, 4.256439670608242e+56
F16: Hybrid Function 7,35707,CMAVariation.PC_C,1, 4.256439107289316e+56
F16: Hybrid Function 7,35747,CMAVariation.PC_C,1, 4.25643923788024e+56
F16: Hybrid Function 7,35787,CMAVariation.PC_C,1, 4.256437992197691e+56
F16: Hybrid Function 7,35827,CMAVariation.PC_C,1, 4.256439841067123e+56
F16: Hybrid Function 7,35867,CMAVariation.PC_C,1, 4.256441279064096e+56
F16: Hybrid Function 7,35907,CMAVariation.PC_C,1, 4.2564380101930465e+56
F15: Hybrid Function 6,22541,CMAVariation.PC_C,3, 1.0103148855333585e+29
F15: Hybrid Function 6,22581,CMAVariation.PC_C,3, 1.0103156292286764e+29
F15: Hybrid Function 6,22621,CMAVariation.PC_C,3, 1.0103151770108141e+29
F15: Hybrid Function 6,22661,CMAVariation.PC_C,3, 1.0103153885804285e+29
F15: Hybrid Function 6,22701,CMAVariation.PC_C,3, 1.0103155679027908e+29
F15: Hybrid Function 6,22741,CMAVariation.PC_C,3, 1.0103154952779251e+29
F15: Hybrid Function 6,22781,CMAVariation.PC_C,3, 1.0103144714302916e+29
F15: Hybrid Function 6,22821,CMAVariation.PC_C,3, 1.0103142967694016e+29
F15: Hybrid Function 6,22861,CMAVariation.PC_C,3, 1.0103141372267377e+29
F15: Hybrid Function 6,22901,CMAVariation.PC_C,3, 1.0103145954003631e+29
F15: Hybrid Function 6,22941,CMAVariation.PC_C,3, 1.0103144998571492e+29
F15: Hybrid Function 6,22981,CMAVariation.PC_C,3, 1.0103148184106015e+29
F15: Hybrid Function 6,23021,CMAVariation.PC_C,3, 1.0103147894647834e+29
F15: Hybrid Function 6,23061,CMAVariation.PC_C,3, 1.0103157445632615e+29
F15: Hybrid Function 6,23101,CMAVariation.PC_C,3, 1.0103157203171467e+29
F15: Hybrid Function 6,23141,CMAVariation.PC_C,3, 1.0103153207453275e+29
F15: Hybrid Function 6,23181,CMAVariation.PC_C,3, 1.010315709557661e+29
F15: Hybrid Function 6,23221,CMAVariation.PC_C,3, 1.0103153512401805e+29
F15: Hybrid Function 6,23261,CMAVariation.PC_C,3, 1.0103154465318566e+29
F15: Hybrid Function 6,23301,CMAVariation.PC_C,3, 1.010315323490975e+29
F15: Hybrid Function 6,23341,CMAVariation.PC_C,3, 1.0103149123552791e+29
F15: Hybrid Function 6,23381,CMAVariation.PC_C,3, 1.0103151132372507e+29
F15: Hybrid Function 6,23421,CMAVariation.PC_C,3, 1.0103148376177997e+29
F15: Hybrid Function 6,23461,CMAVariation.PC_C,3, 1.0103152034457206e+29
F15: Hybrid Function 6,23501,CMAVariation.PC_C,3, 1.0103149154551219e+29
F15: Hybrid Function 6,23541,CMAVariation.PC_C,3, 1.0103154932730967e+29
F15: Hybrid Function 6,23581,CMAVariation.PC_C,3, 1.0103153601158702e+29
